movieId,imgUrl,imgMovieLocation,imgRealLocation
5810,https://www.movie-locations.com/movies/0/8-Mile-Schultes-Avenue.jpg, Rabbitâs trailer home north of 8 Mile Road," Schultes Avenue, Warren, Detroit"
5810,https://www.movie-locations.com/movies/0/8-Mile-8-Mile-Road.jpg, Rabbit catches the bus at 8 Mile Road," 8 Mile Road at Schultes Avenue, Warren, Detroit"
5810,https://www.movie-locations.com/movies/0/8-Mile-East-Milwaukee-Street.jpg, Rabbit works in the stamping plant," East Milwaukee Street, Detroit"
5810,https://www.movie-locations.com/movies/0/8-Mile-30-Clifford-Street.jpg," the exterior of the ‘Shelter’, where Rabbit battles"," Clifford Street, Detroit"
5810,https://www.movie-locations.com/movies/0/8-Mile-Michigan-Building.jpg, Three One Third and The Free World face off in the parking garage," Michigan Building, Bagley Street, Detroit"
5810,https://www.movie-locations.com/movies/0/8-Mile-Penobscot-Building.jpg, Rabbit visits ‘WJLB’ radio station," Penobscot Building, Griswold Street, Detroit"
5810,https://www.movie-locations.com/movies/0/8-Mile-Clifford-Street.jpg, Rabbit walks off to take his chance on the future," Clifford Street, Detroit"
35836,https://www.movie-locations.com/movies/0/40-Year-Old-Virgin-Encino-Courtyard-Mall.jpg," Encino Courtyard Mall, Ventura Boulevard, Ventura, San Fernando Valle"," Encino Courtyard Mall, Ventura Boulevard, Ventura, San Fernando Valley"
35836,https://www.movie-locations.com/movies/0/40-Year-Old-Virgin-Ventura-Boulevard.jpg, Trish's eBay store," Net2Auction, Ventura Boulevard, Ventura, San Fernando Valley"
35836,https://www.movie-locations.com/movies/0/40-Year-Old-Virgin-Bistro-Garden.jpg," speed-dating at Bistro Garden, Ventura Boulevard, Ventura, San Fernando Valle"," speed-dating at Bistro Garden, Ventura Boulevard, Ventura, San Fernando Valley"
35836,https://www.movie-locations.com/movies/0/40-Year-Old-Virgin-Delmonicos.jpg," the second date, at Delmonico's Lobster House, Ventura Boulevard, Ventura, San Fernando Valle"," the second date, at Delmonico's Lobster House, Ventura Boulevard, Ventura, San Fernando Valley"
5308,https://www.movie-locations.com/movies/0/3-Men-And-A-Baby-Prasada.jpg, the Manhattan apartment building," The Prasada, Central Park West, New York"
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-East-77th-Street.jpg, Joe Turner works at the 'American Historical Literary Society'," East 77th Street, East Side, New York"
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-Lexington-Candy-Shop.jpg, Turner nips out to get sandwiches," Lexington Candy Shop Luncheonette, Lexington Avenue, Upper East Side"
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-Guggenheim-Museum.jpg, Joe Turner hides out in the art gallery," Guggenheim Museum, Fifth Avenue, Upper East Side, New York"
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-Ansonia-passage.jpg, Higgins sets up the meeting," Alley behind the Ansonia, Upper West Side, New York"
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-Ansonia-passage-2.jpg, Turner turns up for the meeting," Alley behind the Ansonia, Upper West Side, New York"
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-Ansonia-passage-reverse.jpg, Joe Turner barely escapes with his life," Alley behind the Ansonia, Upper West Side, New York"
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-Hoboken-Station.jpg, Joe Turner says his goodbyes to Kathy," Hoboken Railway Station, Hoboken, New Jersey"
6502,https://www.movie-locations.com/movies/0/28-Days-Later-Canary-Wharf.jpg, the vast escalators," Canary Wharf Station, London"
6502,https://www.movie-locations.com/movies/i/Into-The-Woods-Waverley-Abbey.jpg, the brief idyll in the countryside," Waverley Abbey, Farnham, Surrey"
58803,https://www.movie-locations.com/movies/0/21-Doyles-Braddock-Cafe.jpg, Ben Campbell celebrates his birthday," Doyle's Cafe, Washington Street, Jamaica Plain"
58803,https://www.movie-locations.com/movies/0/21-J-Press.jpg, Ben gets a job at the tailor’s to fund his college fees," J Press, Mount Auburn Street, Cambridge"
58803,https://www.movie-locations.com/movies/0/21-South-Street-Diner.jpg, the team explains the set-up to the newbie," South Street Diner, Kneeland Street, Boston"
58803,https://www.movie-locations.com/movies/0/21-Tyler-Street.jpg, Ben Campbell searches for the location of the trial run," Tyler Street, Chinatown, Boston"
58803,https://www.movie-locations.com/movies/0/21-Beach-Street.jpg, Ben Campbell finds the location of the trial run," Beach Street, Chinatown, Boston"
58803,https://www.movie-locations.com/movies/0/21-Peoples-Republik.jpg, Ben buys Jill a drink in the student bar," People’s Republik, Massachusetts Avenue, Cambridge"
58803,https://www.movie-locations.com/movies/0/21-Beacon-Street.jpg," Broke, Ben visits Jill"," Beacon Street, Chelsea"
924,https://www.movie-locations.com/movies/0/2001-Spitzkoppe.jpg, ‘The Dawn Of Man’," Spitzkoppe, Namibia"
6383,https://www.movie-locations.com/movies/0/2-Fast-2-Furious-Mana.jpg, the police stake-out is foiled by the sudden appearance of a fleet of cars," Mana Wynwood Production Village, NW 5th Avenue, Miami"
222477,https://www.movie-locations.com/movies/0/1984-Senate-House.jpg, the Ministry of Truth," Senate House, Malet Street, Bloomsbury, London WC1"
222477,https://www.movie-locations.com/movies/0/1984-Roundway-Hill.jpg, the 'Golden Country'," Roundway Hill, Devizes, Wiltshire"
208703,https://www.movie-locations.com/movies/0/1917-Erlestoke-final-tree.jpg, the lone tree by the field hospital," Pear Tree Hill, Erlestoke, Wiltshire"
208703,https://www.movie-locations.com/movies/0/1917-Salisbury-Plain.jpg, the countryside of 'Northern France'," Salisbury Plain, Wiltshire"
208703,https://www.movie-locations.com/movies/0/1917-Erlestoke-opening-scene.jpg, Blake and Schofield are woken up at the beginning of the film," Pear Tree Hill, Erlestoke, Wiltshire"
208703,https://www.movie-locations.com/movies/0/1917-Erlestoke-opening-scene-trench.jpg, Blake and Schofield walk down into the trench for their orders," Pear Tree Hill, Erlestoke, Wiltshire"
53953,https://www.movie-locations.com/movies/0/1408-Reform-Club.jpg, the lobby of the fictitious 'Dolphin Hotel'," The Reform Club, Pall Mall, London SW1"
53953,https://www.movie-locations.com/movies/0/../d/Dictator-Roosevelt-Hotel.jpg, entrance to the fictitious 'Dolphin Hotel'," The Roosevelt Hotel, East 45th Street, New York"
7444,https://www.movie-locations.com/movies/0/13-Going-On-30-Spruce-Street-Pasadena.jpg," the ""New Jersey"" homes of Jenna and Matt"," Spruce Street, South Pasadena, California"
7444,https://www.movie-locations.com/movies/t/Transformers-Marshall-School.jpg," Jenna and Matt's ""New Jersey"" school"," Marshall School, Allen Avenue, Pasadena"
7444,https://www.movie-locations.com/movies/0/13-Going-On-30-Fifth-Avenue.jpg, adult Jenna's smart Manhattan apartment'," Fifth Avenue, Manhattan"
7444,https://www.movie-locations.com/movies/0/13-Going-On-30-4th-Street-Greenwich-Village.jpg, adult Matt's Greenwich Village apartment'," 4th Street, Greenwich Village, New York"
7444,https://www.movie-locations.com/movies/0/../h/Highlander-Greene-Street.jpg, the cocktail party," Greene Street in SoHo, Manhattan"
7444,https://www.movie-locations.com/movies/0/../g/Ghostbusters-New-York-Public-Library.jpg, the 'Class of 2004' photoshoot," New York Public Library, Fifth Avenue, New York"
7444,https://www.movie-locations.com/movies/0/13-Going-On-30-Fletcher-Avenue-Pasadena.jpg, Jenna and Matt move into their married home," Fletcher Avenue, South Pasadena, California"
81562,https://www.movie-locations.com/movies/0/127-Hours-Blue-John-Canyon.jpg, trapped in the canyon," Bluejohn Canyon, Canyonlands National Park, Utah"
105844,https://www.movie-locations.com/movies/0/12-Years-A-Slave-Felicity.jpg, Solomon spends years on the Epps plantation," Felicity Plantation, Vacherie, Louisiana"
32,https://www.movie-locations.com/movies/0/12-Monkeys-Engineers-Club.jpg, The elegant home of Dr Goines," Garrett Jacobs Mansion, West Mount Vernon Place, Baltimore"
32,https://www.movie-locations.com/movies/0/12-Monkeys-Senator.jpg, Cole and Railly sit through a 24-hour Hitchcock Fest," Senator Theatre, York Road, Baltimore"
1203,https://www.movie-locations.com/movies/0/12-Angry-Men-New-York-County-Courthouse.jpg, the courthouse setting," New York County Courthouse, New York"
1367,https://www.movie-locations.com/movies/0/101-Dalmatians-Minster-Crt.jpg, the ‘House of DeVil’," Minster Court, Mincing Lane, London EC3"
1367,https://www.movie-locations.com/movies/0/101-Dalmatians-St-Lukes-Church.jpg, doggies patiently wait outside as Roger and Anita get married," Parish Church Of St Luke, Sydney Street, Chelsea SW3"
2572,https://www.movie-locations.com/movies/0/10-Things-I-Hate-Stadium-High.jpg, ‘Padua High’," Stadium High School, North E Street, Tacoma"
6658,https://www.movie-locations.com/movies/0/10-All-Saints-Episcopal-Church.jpg, George first claps eyes on Jenny," All Saints Episcopal Church, Camden Drive, Beverly Hills "
4816,https://www.movie-locations.com/movies/z/Zoolander-Greene-Street.jpg, the apartment of Derek Zoolander and his model chums," Greene Street, SoHo, New York"
4816,https://www.movie-locations.com/movies/z/Zoolander-Westin-Bonaventure.jpg, Zoolander is too quick to accept the award," Westin Bonaventure Hotel, South Figueroa Street, downtown Los Angeles"
4816,https://www.movie-locations.com/movies/z/Zoolander-Gas-Station.jpg, Derek Zoolander’s chums enjoy a playful petrol fight," West Broadway at Varrick Street, New York"
4816,https://www.movie-locations.com/movies/z/Zoolander-26-Broadway.jpg, Mugatu’s inspired ‘Derelicte’ show," Broadway, New York"
71535,https://www.movie-locations.com/movies/z/Zombieland-Wild-Adventures-Valdosta.jpg, Wichita and Little Rock arrive at 'Pacific Playground'," Firecracker, Wild Adventures, Valdosta, Georgia"
71535,https://www.movie-locations.com/movies/z/Zombieland-Firecracker-Wild-Adventures.jpg, Wichita and Little Rock are stranded on the funfair ride," Firecracker, Wild Adventures, Valdosta, Georgia"
109187,https://www.movie-locations.com/movies/z/Zero-Theorem-Romanian-Athenaeum-int.jpg, Qohenâs workplace at âMancomâ," the lobby of the Romanian Athenaeum, Bucharest, Romania"
109187,https://www.movie-locations.com/movies/z/Zero-Theorem-Romanian-Athenaeum-ext.jpg, Qohenâs workplace at âMancomâ," exterior of the Romanian Athenaeum, Bucharest, Romania"
109187,https://www.movie-locations.com/movies/z/Zero-Theorem-Carol-Park-Memorial.jpg, Bob takes Qohen for a break in the park," Communist Memorial, Carol Park, Bucharest, Romania"
8189,https://www.movie-locations.com/movies/z/Zazie-Dans-Le-Metro_Bonne-Nouvelle.jpg, the basement âSalle de Reunionsâ bar," Rue Notre Dame de Bonne Nouvelle, Paris"
8189,https://www.movie-locations.com/movies/z/Zazie-St-Vincent-De-Paul.jpg, Gabriel points out the strangely identical tourist sights," Church of St Vincent de Paul, rue La Fayette, Paris"
8189,https://www.movie-locations.com/movies/z/Zazie-Dans-Le-Metro_Bonne-Nouvelle-2.jpg, the basement âSalle de Reunionsâ bar," Rue Notre Dame de Bonne Nouvelle, Paris"
8189,https://www.movie-locations.com/movies/z/Zazie-Dans-Le-Metro-Galerie-Vivienne.jpg, the chase through the shopping arcade," Galerie Vivienne, Paris"
8189,https://www.movie-locations.com/movies/z/Zazie-Villa-Des-Platanes.jpg, chasing around the staircase," Villa des Platanes, Boulevard de Clichy, Paris"
8189,https://www.movie-locations.com/movies/z/Zazie-Port-De-Suffren.jpg, Gabriel is abducted by buxom young women," Port de Suffren, Paris"
8189,https://www.movie-locations.com/movies/z/Zazie-club-staircase.jpg, the steps leading up to 'Le Paradis'," rue La Fayette, Paris"
8189,https://www.movie-locations.com/movies/z/Zazie-club-passage.jpg, the passageway leading  to 'Le Paradis'," rue La Fayette, Paris"
40851,https://www.movie-locations.com/movies/z/Zathura-Oaklawn-Avenue-Pasadena.jpg, the space-bound house," Oaklawn Avenue, South Pasadena, California"
62434,https://www.movie-locations.com/movies/z/../d/Dawn-Of-The-Dead-Monroeville-Mall.jpg, Zack finds a producer," Monroeville Mall, Monroeville, Pennsylvania"
26237,https://www.movie-locations.com/movies/z/Zabriskie-Point-1.jpg, out in the desert," Zabriskie Point, Death Valley, California"
26237,https://www.movie-locations.com/movies/z/Zabriskie-Point-2.jpg, out in the desert," Zabriskie Point, Death Valley, California"
26237,https://www.movie-locations.com/movies/z/Zabriskie-Point-overlook.jpg, out in the desert," Zabriskie Point Lookout, Death Valley, California"
2424,https://www.movie-locations.com/movies/y/Youve-Got-Mail-69th-Street.jpg, the little independent bookstore," West 69th Street, West Side, New York"
2424,https://www.movie-locations.com/movies/y/Youve-Got-Mail-Cafe-Lalo.jpg, Kathleen waits to meet ‘NY152’," Cafe Lalo, West 83rd Street, Upper West Side, New York"
68269,https://www.movie-locations.com/movies/y/Young-Victoria-Ham-House.jpg, the princess grows up in ‘Kensington Palace’," Ham House, Richmond, London"
68269,https://www.movie-locations.com/movies/y/../h/Hamlet-1996-Blenheim-Palace.jpg, the ‘newly completed Buckingham Palace’," Blenheim Palace, Woodstock, Oxfordshire"
68269,https://www.movie-locations.com/movies/y/../m/Music-Lovers-Wilton-House.jpg," Albert’s home, ‘Rosenau Castle, Coburg’"," Wilton House, Wilton, Wiltshire"
68269,https://www.movie-locations.com/movies/y/Young-Victoria-Arundel-Castle.jpg, ‘Windsor Castle’," Arundel Castle, West Sussex"
68269,https://www.movie-locations.com/movies/y/../r/Reds-Lancaster-House.jpg, the Coronation Ball at ‘Buckingham Palace’," Lancaster House, St James's, London"
68269,https://www.movie-locations.com/movies/y/../k/King-Ralph-Belvoir-Castle.jpg, ‘Buckingham Palace’ interiors," Belvoir Castle, near Grantham, Leicestershire"
157045,https://www.movie-locations.com/movies/y/Young-Stranger-North-Catalina-Street.jpg, Jerry's house," North Catalina Street, Los Feliz, Los Angeles"
157045,https://www.movie-locations.com/movies/y/Young-Stranger-Bruin-Cinema.jpg, Hal gets into a ruckus with the cinema manager," Fox Bruin Theater, Broxton Avenue, Westwood, Los Angeles"
157045,https://www.movie-locations.com/movies/y/../b/Buffy-The-Vampire-Slayer-John-Marshall-High-School.jpg, Hal attends 'Ulysses S Grant High School'," John Marshall High School, Silverlake, Los Angeles"
2414,https://www.movie-locations.com/movies/y/../k/King-Ralph-Belvoir-Castle.jpg, Waxflatter demonstrates his flying machine," Belvoir Castle, near Grantham, Leicestershire"
7569,https://www.movie-locations.com/movies/y/You-Only-Live-Twice-Himeji-Castle.jpg, the Ninja training school," Himeji Castle, Japan"
7569,https://www.movie-locations.com/movies/y/You-Only-Live-Twice-Hotel-New-Otani.jpg, the headquarters of âOsato Chemicals and Engineering Companyâ," Hotel New Otani Tokyo, Kioi-cho, Chiyoda-Ku, Tokyo"
841,https://www.movie-locations.com/movies/y/Yeux-Sans-Visage-Barrage-De-Noisiel.jpg, Louise disposes of a body in the 'Seine'," Barrage de Noisiel, River Marne, Noisiel, France"
3329,https://www.movie-locations.com/movies/y/Year-My-Voice-Broke-Braidwood-Hotel.jpg, the hotel," Braidwood Hotel, Wallace Street, Braidwood, New South Wales"
111362,https://www.movie-locations.com/movies/x/X-Men-Days-Of-Future-Past-Hotel-De-Ville.jpg, peace talks at the âParisâ hotel," Hotel de Ville, Montreal"
111362,https://www.movie-locations.com/movies/x/X-Men-2-Hatley-Castle.jpg, ‘Professor Xavier’s academy’ in ‘Westchester’," Hatley Castle, Vancouver"
111362,https://www.movie-locations.com/movies/x/X-Men-Days-Of-Future-Past-Fontaine-Place-Vauquelin.jpg, peace talks at the âParisâ hotel," Hotel de Ville, Montreal"
87232,https://www.movie-locations.com/movies/x/X-Men-First-Class-Englefield-House.jpg, The schoolroom of ‘Xavier’s academy’, Englefield House
87232,https://www.movie-locations.com/movies/x/../a/Absolute-Beginners-Cafe-De-Paris.jpg," the 'Hellfire Club, Las Vegas'"," Cafe De Paris (now closed), Coventry Street, London W1"
87232,https://www.movie-locations.com/movies/x/../m/Music-Lovers-West-Wycombe-House.jpg, the ‘Russian’ military retreat," West Wycombe House, West Wycombe, Buckinghamshire"
87232,https://www.movie-locations.com/movies/x/../h/Harry-Potter-Philosophers-Stone-Australia-House.jpg, The ‘Kremlin’ war room," Australia House, Strand, London WC2"
68319,https://www.movie-locations.com/movies/x/X-Men-Origins-Wolverine-Stirling-Falls.jpg, Wolverine escapes from the ‘Alkali Lake’ facility," Stirling Falls, Milford Sound, New Zealand"
68319,https://www.movie-locations.com/movies/x/X-Men-Origins-Wolverine-Buchanan-Building.jpg, the raid on the ‘Lagos’ compound," Buchanan Tower, University of British Columbia, Vancouver"
68319,https://www.movie-locations.com/movies/x/X-Men-Origins-Wolverine-Homebush-Cinema.jpg, the Blob trains in John Wraith’s ‘Las Vegas’ gym," Homebush Cinema, Parramatta Road, Homebush, Sydney"
45499,https://www.movie-locations.com/movies/x/X-Men-The-Last-Stand-Alouette-Lake.jpg, Phoenix rises from ‘Alkali Lake’," Alouette Lake, Golden Ears Provincial Park, British Columbia"
122924,https://www.movie-locations.com/movies/x/X-Men-Apocalypse-Corona-Theatre.jpg, Angel is pitted against Nightcrawler in the âEast Berlinâ fight club," Corona Theatre, Notre-Dame St West, MontrÃ©al"
103341,https://www.movie-locations.com/movies/w/Worlds-End-Gardeners-Arms-Letchworth.jpg," ultimate destination, ‘The World’s End’ pub"," Gardeners Arms, Wilbury Hills Road, Letchworth Garden City"
103341,https://www.movie-locations.com/movies/w/Worlds-End-roundabout.jpg, the roundabout at ‘Newton Haven’," Sollershott Circus, Broadway, Letchworth Garden City"
103341,https://www.movie-locations.com/movies/w/Worlds-End-Pear-Tree.jpg, Pub No. 1 – ‘The First Post’," The Peartree, Hollybush Lane, Welwyn Garden City"
103341,https://www.movie-locations.com/movies/w/Worlds-End-Doctors-Tonic.jpg, Pub No. 2 – ‘The Old Familiar ’," The Doctor’s Tonic, Church Road, Welwyn Garden City"
103341,https://www.movie-locations.com/movies/w/Worlds-End-The-Cork.jpg, Pub No. 3 ‘The Famous Cock’," The Two Willows (formerly The Cork), Welwyn Garden City"
103341,https://www.movie-locations.com/movies/w/Worlds-End-Parkway-Bar.jpg, Pub No. 4 – ‘The Cross Hands’," The Parkway Bar, Parkway, Welwyn Garden City"
103341,https://www.movie-locations.com/movies/w/Worlds-End-Leys-Avenue.jpg, Pub No. 5 – ‘The Good Companions’," 71 Leys Avenue, Letchworth Garden City"
103341,https://www.movie-locations.com/movies/w/Worlds-End-Wenlock.jpg, Pub No. 5 – ‘The Good Companions’ – inside," Wenlock Arms, Islington, London"
103341,https://www.movie-locations.com/movies/w/Worlds-End-Three-Magnets.jpg, Pub no. 6 – ‘The Trusty Servant’," The Three Magnets, Leys Avenue, Letchworth Garden City"
103341,https://www.movie-locations.com/movies/w/Worlds-End-Colonnade.jpg, Pub No. 7 – ‘The Two-Headed Dog’," The Colonnade, Letchworth Garden City"
103341,https://www.movie-locations.com/movies/w/Worlds-End-Broadway-Cinema.jpg, Pub No. 8 – ‘The Mermaid’," Broadway Cinema, Letchworth Garden City"
